t_s,roll,pitch,yaw,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,state_0,aerr_0,fmode_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,state_1,aerr_1,fmode_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,state_2,aerr_2,fmode_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,state_3,aerr_3,fmode_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,state_4,aerr_4,fmode_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5,state_5,aerr_5,fmode_5
0.0000,-0.00448,0.25744,-39.12024,-0.00448,0.25744,-0.00616,0.25215,0.02329,0.70931,0.02945,0.45716,0.02945,0.45716,0.00000,0.00000,16,0.00035,-0.50307,-0.51348,-0.01054,3.21729,3.32999,8,0x00000000,1,-0.45620,-0.46532,-0.01010,2.68645,2.53674,8,0x00000000,1,-0.46684,-0.46830,-0.00557,3.59404,3.56528,8,0x00000000,1,-0.45963,-0.46078,-0.00503,1.43519,1.44186,8,0x00000000,1,-0.43849,-0.44332,0.00408,0.22031,0.17888,8,0x00000000,1,-0.52412,-0.53690,-0.00282,2.37068,2.44369,8,0x00000000,1
0.1053,-0.00502,0.26706,-39.11538,-0.00502,0.26706,-0.00459,0.26211,0.02329,0.70197,0.02789,0.43986,0.02789,0.43986,0.00000,0.00000,16,0.00040,-0.50232,-0.51340,-0.00637,2.99120,3.04837,8,0x00000000,1,-0.45620,-0.46556,0.00238,2.54532,2.63583,8,0x00000000,1,-0.46697,-0.46859,-0.00333,3.54095,3.59009,8,0x00000000,1,-0.46032,-0.46077,-0.00213,1.47879,1.63758,8,0x00000000,1,-0.43911,-0.44330,0.00377,0.20072,0.18854,8,0x00000000,1,-0.52342,-0.53681,0.01089,2.19577,2.16786,8,0x00000000,1
0.2060,-0.00429,0.27021,-39.12029,-0.00429,0.27021,-0.00412,0.26806,0.02329,0.69440,0.02741,0.42635,0.02741,0.42635,0.00000,0.00000,16,0.00054,-0.50175,-0.51334,-0.00033,2.81161,2.79146,8,0x00000000,1,-0.45618,-0.46559,0.00255,2.44454,2.36587,8,0x00000000,1,-0.46704,-0.46883,-0.00283,3.51440,3.51127,8,0x00000000,1,-0.46087,-0.46079,-0.00774,1.51401,1.54909,8,0x00000000,1,-0.43961,-0.44326,0.00886,0.19208,0.24532,8,0x00000000,1,-0.52290,-0.53678,0.00134,1.96290,1.95177,8,0x00000000,1
0.3074,-0.00001,0.27249,-39.12677,-0.00001,0.27249,-0.00267,0.27103,0.02329,0.68671,0.02597,0.41568,0.02597,0.41568,0.00000,0.00000,16,0.00064,-0.50128,-0.51325,0.00700,2.65454,2.80504,8,0x00000000,1,-0.45620,-0.46558,0.00569,2.33564,2.16486,8,0x00000000,1,-0.46715,-0.46900,-0.00829,3.47981,3.53128,8,0x00000000,1,-0.46128,-0.46078,-0.00270,1.55962,1.50962,8,0x00000000,1,-0.43997,-0.44321,0.00628,0.16181,0.34296,8,0x00000000,1,-0.52246,-0.53670,-0.00097,1.80716,1.79245,8,0x00000000,1
0.4102,0.00146,0.27175,-39.12175,0.00146,0.27175,0.00157,0.27176,0.02329,0.67897,0.02172,0.40721,0.02172,0.40721,0.00000,0.00000,16,0.00041,-0.50084,-0.51319,0.00011,2.52745,2.48682,8,0x00000000,1,-0.45636,-0.46560,-0.00124,2.24391,2.26798,8,0x00000000,1,-0.46737,-0.46917,-0.00136,3.45841,3.33265,8,0x00000000,1,-0.46155,-0.46079,0.00220,1.59412,1.63799,8,0x00000000,1,-0.44019,-0.44318,-0.00357,0.12012,0.18029,8,0x00000000,1,-0.52202,-0.53656,0.01103,1.62310,1.62199,8,0x00000000,1
0.5113,0.00325,0.27350,-39.12737,0.00325,0.27350,0.00219,0.27355,0.02329,0.67119,0.02111,0.39764,0.02111,0.39764,0.00000,0.00000,16,0.00041,-0.50043,-0.51311,-0.00311,2.35445,2.27876,8,0x00000000,1,-0.45636,-0.46557,0.00609,2.12640,2.19323,8,0x00000000,1,-0.46743,-0.46927,0.00416,3.45915,3.41405,8,0x00000000,1,-0.46194,-0.46079,0.00401,1.60795,1.69431,8,0x00000000,1,-0.44053,-0.44309,-0.00028,0.11903,0.18297,8,0x00000000,1,-0.52165,-0.53645,0.00224,1.37984,1.31268,8,0x00000000,1
0.6115,0.00319,0.27349,-39.12793,0.00319,0.27349,0.00248,0.27358,0.02329,0.66339,0.02082,0.38982,0.02082,0.38982,0.00000,0.00000,16,0.00031,-0.50010,-0.51305,-0.00801,2.12239,2.18986,8,0x00000000,1,-0.45634,-0.46558,0.00315,2.00284,2.07995,8,0x00000000,1,-0.46747,-0.46934,-0.00392,3.40273,3.49213,8,0x00000000,1,-0.46226,-0.46082,-0.00063,1.64146,1.60479,8,0x00000000,1,-0.44082,-0.44305,-0.00400,0.10689,0.05612,8,0x00000000,1,-0.52134,-0.53631,-0.00833,1.17057,1.36929,8,0x00000000,1
0.7126,-0.00400,0.27324,-39.11866,-0.00400,0.27324,-0.00031,0.27404,0.02329,0.65558,0.02361,0.38154,0.02361,0.38154,0.00000,0.00000,16,0.00049,-0.49982,-0.51292,0.00750,2.00101,1.94681,8,0x00000000,1,-0.45618,-0.46556,0.00443,1.89189,2.01493,8,0x00000000,1,-0.46737,-0.46938,0.00074,3.39484,3.37236,8,0x00000000,1,-0.46265,-0.46083,0.00107,1.71873,1.53590,8,0x00000000,1,-0.44121,-0.44301,0.01166,0.12142,0.08427,8,0x00000000,1,-0.52110,-0.53607,-0.00015,1.01251,1.18234,8,0x00000000,1
0.8169,-0.00176,0.27308,-39.12964,-0.00176,0.27308,-0.00248,0.27273,0.02329,0.64780,0.02578,0.37507,0.02578,0.37507,0.00000,0.00000,16,0.00038,-0.49959,-0.51284,-0.00510,1.81370,1.76189,8,0x00000000,1,-0.45606,-0.46555,0.00227,1.72279,1.64149,8,0x00000000,1,-0.46729,-0.46942,0.00048,3.35651,3.45832,8,0x00000000,1,-0.46296,-0.46084,0.00569,1.74130,1.72663,8,0x00000000,1,-0.44151,-0.44300,0.00199,0.12559,0.07138,8,0x00000000,1,-0.52092,-0.53578,0.00528,0.88567,0.92319,8,0x00000000,1
0.9205,-0.00819,0.26892,-39.11984,-0.00819,0.26892,-0.00559,0.27141,0.02329,0.64004,0.02888,0.36862,0.02888,0.36862,0.00000,0.00000,16,0.00049,-0.49938,-0.51270,0.00837,1.66398,1.65123,8,0x00000000,1,-0.45589,-0.46553,0.00703,1.62351,1.71527,8,0x00000000,1,-0.46717,-0.46942,0.01415,3.34639,3.28775,8,0x00000000,1,-0.46329,-0.46087,0.00398,1.79824,1.75815,8,0x00000000,1,-0.44184,-0.44298,0.00870,0.09447,0.22936,8,0x00000000,1,-0.52075,-0.53553,-0.00108,0.64245,0.76986,8,0x00000000,1
1.0247,-0.00900,0.27088,-39.13735,-0.00900,0.27088,-0.00889,0.27151,0.02329,0.63230,0.03219,0.36079,0.03219,0.36079,0.00000,0.00000,16,0.00146,-0.49913,-0.51256,0.00817,1.48480,1.57288,8,0x00000000,1,-0.45571,-0.46549,0.00415,1.51140,1.53926,8,0x00000000,1,-0.46705,-0.46945,0.00267,3.28656,3.50320,8,0x00000000,1,-0.46368,-0.46088,0.00843,1.86487,1.79764,8,0x00000000,1,-0.44222,-0.44299,-0.00441,0.13316,0.11940,8,0x00000000,1,-0.52054,-0.53516,0.00736,0.50128,0.45687,8,0x00000000,1
1.1290,-0.01817,0.26840,-39.12303,-0.01817,0.26840,-0.01414,0.26956,0.02329,0.62459,0.03744,0.35503,0.03744,0.35503,0.00000,0.00000,16,0.00145,-0.49899,-0.51247,-0.00796,1.28887,1.26377,8,0x00000000,1,-0.45545,-0.46543,0.00110,1.32222,1.42151,8,0x00000000,1,-0.46683,-0.46946,-0.00113,3.22540,3.23247,8,0x00000000,1,-0.46403,-0.46092,0.01124,1.90592,2.05636,8,0x00000000,1,-0.44258,-0.44299,-0.00631,0.13962,0.09924,8,0x00000000,1,-0.52046,-0.53476,0.00227,0.35096,0.47923,8,0x00000000,1
1.2315,-0.01617,0.26680,-39.13740,-0.01617,0.26680,-0.01701,0.26727,0.02329,0.61694,0.04031,0.34968,0.04031,0.34968,0.00000,0.00000,16,0.00102,-0.49883,-0.51230,0.00273,1.15837,1.03705,8,0x00000000,1,-0.45529,-0.46539,-0.00489,1.19697,1.17542,8,0x00000000,1,-0.46672,-0.46945,0.00184,3.19604,3.23423,8,0x00000000,1,-0.46430,-0.46096,-0.00102,1.92738,1.88277,8,0x00000000,1,-0.44286,-0.44297,-0.00006,0.16864,0.23914,8,0x00000000,1,-0.52034,-0.53427,0.00849,0.18137,0.21709,8,0x00000000,1
1.3323,-0.01730,0.26357,-39.13960,-0.01730,0.26357,-0.01794,0.26565,0.02329,0.60934,0.04124,0.34369,0.04124,0.34369,0.00000,0.00000,16,0.00038,-0.49860,-0.51219,-0.01424,0.91132,0.90865,8,0x00000000,1,-0.45523,-0.46532,-0.00352,1.08873,0.98113,8,0x00000000,1,-0.46669,-0.46947,-0.00234,3.13866,3.23754,8,0x00000000,1,-0.46457,-0.46100,0.00383,2.01484,2.01491,8,0x00000000,1,-0.44311,-0.44298,-0.00300,0.18445,0.19400,8,0x00000000,1,-0.52013,-0.53372,0.01574,0.05433,0.10628,8,0x00000000,1
1.4306,-0.01930,0.26219,-39.12916,-0.01930,0.26219,-0.01845,0.26353,0.02329,0.60180,0.04174,0.33827,0.04174,0.33827,0.00000,0.00000,16,0.00029,-0.49838,-0.51196,0.01206,0.82141,0.62462,8,0x00000000,1,-0.45518,-0.46524,-0.00100,0.98659,1.07412,8,0x00000000,1,-0.46669,-0.46946,-0.00045,3.11769,3.06677,8,0x00000000,1,-0.46481,-0.46107,-0.00845,2.05856,2.06798,8,0x00000000,1,-0.44333,-0.44297,0.00111,0.18920,0.07559,8,0x00000000,1,-0.51994,-0.53320,0.00198,-0.07722,-0.02929,8,0x00000000,1
1.5325,-0.02054,0.26028,-39.13206,-0.02054,0.26028,-0.01901,0.26088,0.02329,0.59433,0.04231,0.33346,0.04231,0.33346,0.00000,0.00000,16,0.00196,-0.49819,-0.51181,0.00648,0.65042,0.66960,8,0x00000000,1,-0.45514,-0.46515,0.00583,0.87292,0.79603,8,0x00000000,1,-0.46668,-0.46947,-0.00137,3.07848,3.14449,8,0x00000000,1,-0.46502,-0.46109,-0.00056,2.12577,1.96122,8,0x00000000,1,-0.44352,-0.44298,-0.00971,0.22789,0.29390,8,0x00000000,1,-0.51978,-0.53258,0.00607,-0.21859,-0.18385,8,0x00000000,1
1.6339,-0.01947,0.25985,-39.14565,-0.01947,0.25985,-0.02065,0.25929,0.02364,0.58693,0.04428,0.32764,0.04428,0.32764,0.00000,0.00000,0,0.00028,-0.49799,-0.51168,-0.01664,0.41872,0.48113,8,0x00000000,1,-0.45503,-0.46506,-0.00367,0.73553,0.84277,8,0x00000000,1,-0.46661,-0.46945,-0.00172,3.04157,2.99964,8,0x00000000,1,-0.46530,-0.46114,0.00316,2.18378,2.20193,8,0x00000000,1,-0.44380,-0.44296,0.00511,0.25059,0.20366,8,0x00000000,1,-0.51961,-0.53194,0.01600,-0.32352,-0.17514,8,0x00000000,1
1.7384,-0.01807,0.26221,-39.13496,-0.01807,0.26221,-0.01847,0.26127,0.02388,0.57951,0.04235,0.31824,0.04235,0.31824,0.00000,0.00000,16,0.00025,-0.49756,-0.51141,0.00485,0.28032,0.36040,8,0x00000000,1,-0.45508,-0.46489,-0.00019,0.62453,0.55013,8,0x00000000,1,-0.46673,-0.46945,0.00602,3.04542,3.04006,8,0x00000000,1,-0.46565,-0.46120,0.00668,2.26878,2.28983,8,0x00000000,1,-0.44410,-0.44298,0.00031,0.28767,0.31571,8,0x00000000,1,-0.51920,-0.53134,0.00182,-0.52437,-0.62600,8,0x00000000,1
1.8393,-0.01378,0.26447,-39.15118,-0.01378,0.26447,-0.01576,0.26324,0.02388,0.57203,0.03964,0.30879,0.03964,0.30879,0.00000,0.00000,16,0.00051,-0.49712,-0.51108,0.01424,0.11788,0.17695,8,0x00000000,1,-0.45517,-0.46478,0.00027,0.51644,0.63272,8,0x00000000,1,-0.46689,-0.46945,-0.00075,2.99909,2.97440,8,0x00000000,1,-0.46599,-0.46130,-0.00550,2.31098,2.33516,8,0x00000000,1,-0.44439,-0.44297,0.00510,0.31118,0.35505,8,0x00000000,1,-0.51877,-0.53068,0.00876,-0.61135,-0.60867,8,0x00000000,1
1.9447,-0.01441,0.26128,-39.13816,-0.01441,0.26128,-0.01418,0.26221,0.02388,0.56453,0.03805,0.30232,0.03805,0.30232,0.00000,0.00000,16,0.00039,-0.49682,-0.51075,0.01531,-0.04773,-0.02713,8,0x00000000,1,-0.45522,-0.46462,0.00534,0.40636,0.49230,8,0x00000000,1,-0.46698,-0.46947,-0.00306,2.96052,2.77803,8,0x00000000,1,-0.46623,-0.46139,-0.00106,2.41617,2.50292,8,0x00000000,1,-0.44460,-0.44297,0.00085,0.36281,0.35799,8,0x00000000,1,-0.51849,-0.53013,0.01533,-0.70908,-0.69012,8,0x00000000,1
2.0482,-0.00680,0.26414,-39.15444,-0.00680,0.26414,-0.01093,0.26234,0.02388,0.55707,0.03481,0.29473,0.03481,0.29473,0.00000,0.00000,16,0.00029,-0.49644,-0.51051,-0.00670,-0.28910,-0.27530,8,0x00000000,1,-0.45534,-0.46444,-0.00355,0.28872,0.27117,8,0x00000000,1,-0.46716,-0.46945,0.00482,2.97519,2.78233,8,0x00000000,1,-0.46648,-0.46146,0.00457,2.46512,2.44577,8,0x00000000,1,-0.44480,-0.44295,0.01056,0.40102,0.47020,8,0x00000000,1,-0.51812,-0.52957,0.01876,-0.86342,-0.95580,8,0x00000000,1
2.1495,-0.00703,0.26464,-39.15269,-0.00703,0.26464,-0.00942,0.26407,0.02388,0.54956,0.03330,0.28549,0.03330,0.28549,0.00000,0.00000,16,0.00117,-0.49602,-0.51008,-0.00495,-0.45332,-0.39966,8,0x00000000,1,-0.45537,-0.46425,-0.00020,0.23431,0.22458,8,0x00000000,1,-0.46726,-0.46946,-0.00546,2.91276,2.93634,8,0x00000000,1,-0.46683,-0.46157,0.00341,2.54926,2.69310,8,0x00000000,1,-0.44511,-0.44297,0.00362,0.44835,0.47998,8,0x00000000,1,-0.51773,-0.52910,-0.00363,-1.04405,-0.97148,8,0x00000000,1
2.2491,-0.01082,0.26577,-39.14404,-0.01082,0.26577,-0.00900,0.26486,0.02388,0.54202,0.03288,0.27716,0.03288,0.27716,0.00000,0.00000,16,0.00034,-0.49567,-0.50970,0.00236,-0.62506,-0.61453,8,0x00000000,1,-0.45536,-0.46408,-0.00293,0.12676,0.19924,8,0x00000000,1,-0.46730,-0.46944,0.00734,2.94292,3.00618,8,0x00000000,1,-0.46717,-0.46170,-0.00392,2.62909,2.58537,8,0x00000000,1,-0.44542,-0.44296,0.00821,0.48478,0.48201,8,0x00000000,1,-0.51740,-0.52860,-0.00027,-1.15295,-1.20471,8,0x00000000,1
2.3534,-0.00335,0.26707,-39.15620,-0.00335,0.26707,-0.00671,0.26571,0.02388,0.53446,0.03059,0.26876,0.03059,0.26876,0.00000,0.00000,16,0.00111,-0.49527,-0.50909,-0.00369,-0.74128,-0.74514,8,0x00000000,1,-0.45544,-0.46386,-0.00279,0.03126,-0.01315,8,0x00000000,1,-0.46744,-0.46944,0.00302,2.91163,2.93873,8,0x00000000,1,-0.46747,-0.46184,-0.00219,2.70880,2.66760,8,0x00000000,1,-0.44568,-0.44298,-0.00242,0.52145,0.50847,8,0x00000000,1,-0.51702,-0.52815,0.01192,-1.26284,-1.20519,8,0x00000000,1
2.4584,-0.00312,0.26649,-39.14582,-0.00312,0.26649,-0.00322,0.26702,0.02388,0.52687,0.02710,0.25985,0.02710,0.25985,0.00000,0.00000,16,0.00047,-0.49484,-0.50837,-0.01250,-0.95483,-1.00121,8,0x00000000,1,-0.45556,-0.46365,-0.00602,-0.04948,0.01968,8,0x00000000,1,-0.46763,-0.46945,0.00190,2.89497,2.90620,8,0x00000000,1,-0.46778,-0.46202,-0.00272,2.78754,2.65886,8,0x00000000,1,-0.44593,-0.44297,-0.00209,0.54305,0.47879,8,0x00000000,1,-0.51659,-0.52758,0.00489,-1.41244,-1.53996,8,0x00000000,1
2.5602,0.00471,0.26848,-39.16311,0.00471,0.26848,0.00081,0.26740,0.02388,0.51927,0.02307,0.25187,0.02307,0.25187,0.00000,0.00000,16,0.00047,-0.49442,-0.50742,0.01084,-0.98808,-0.89401,8,0x00000000,1,-0.45572,-0.46343,-0.00584,-0.13052,-0.21880,8,0x00000000,1,-0.46784,-0.46948,-0.01071,2.85927,2.88096,8,0x00000000,1,-0.46803,-0.46216,0.00031,2.86306,2.85067,8,0x00000000,1,-0.44613,-0.44299,-0.00249,0.61232,0.59042,8,0x00000000,1,-0.51619,-0.52712,0.00512,-1.49731,-1.43441,8,0x00000000,1
2.6626,0.00549,0.26682,-39.15849,0.00549,0.26682,0.00409,0.26770,0.02388,0.51163,0.01979,0.24393,0.01979,0.24393,0.00000,0.00000,16,0.00038,-0.49403,-0.50625,0.01450,-1.09929,-1.20676,8,0x00000000,1,-0.45584,-0.46318,0.00645,-0.16194,-0.14764,8,0x00000000,1,-0.46802,-0.46946,-0.00341,2.85434,2.75516,8,0x00000000,1,-0.46829,-0.46239,-0.00655,2.91925,2.80602,8,0x00000000,1,-0.44634,-0.44299,0.00099,0.68408,0.65258,8,0x00000000,1,-0.51580,-0.52634,0.00412,-1.63426,-1.61485,8,0x00000000,1
2.7624,0.00519,0.26611,-39.15206,0.00519,0.26611,0.00635,0.26699,0.02388,0.50401,0.01753,0.23703,0.01753,0.23703,0.00000,0.00000,16,0.00037,-0.49370,-0.50502,0.00904,-1.17392,-1.10811,8,0x00000000,1,-0.45592,-0.46292,0.00131,-0.23047,-0.25682,8,0x00000000,1,-0.46814,-0.46945,0.00159,2.87285,2.98879,8,0x00000000,1,-0.46854,-0.46261,0.00135,2.99538,3.11033,8,0x00000000,1,-0.44655,-0.44298,0.00020,0.74034,0.79116,8,0x00000000,1,-0.51548,-0.52558,0.01031,-1.72923,-1.60449,8,0x00000000,1
2.8683,0.00961,0.26668,-39.16292,0.00961,0.26668,0.00826,0.26634,0.02388,0.49641,0.01562,0.23008,0.01562,0.23008,0.00000,0.00000,16,0.00059,-0.49337,-0.50358,0.01306,-1.22795,-1.23967,8,0x00000000,1,-0.45598,-0.46267,0.00171,-0.30023,-0.24719,8,0x00000000,1,-0.46826,-0.46944,-0.00013,2.85902,2.89907,8,0x00000000,1,-0.46879,-0.46292,0.00167,3.06646,3.10750,8,0x00000000,1,-0.44676,-0.44299,-0.00752,0.76345,0.63395,8,0x00000000,1,-0.51517,-0.52446,0.01229,-1.76820,-1.69731,8,0x00000000,1
2.9733,0.00953,0.26580,-39.15192,0.00953,0.26580,0.00990,0.26651,0.02388,0.48882,0.01398,0.22232,0.01398,0.22232,0.00000,0.00000,16,0.00151,-0.49302,-0.50218,0.01010,-1.29775,-1.29248,8,0x00000000,1,-0.45602,-0.46244,-0.00220,-0.40727,-0.27851,8,0x00000000,1,-0.46836,-0.46944,0.00510,2.87067,2.92368,8,0x00000000,1,-0.46908,-0.46336,-0.01310,3.11602,3.19109,8,0x00000000,1,-0.44701,-0.44300,-0.01178,0.85290,0.79175,8,0x00000000,1,-0.51483,-0.52140,0.04005,-1.61538,-1.69407,8,0x00000000,1
3.0755,0.00532,0.26785,-39.16364,0.00532,0.26785,0.00720,0.26711,0.02388,0.48123,0.01668,0.21412,0.01668,0.21412,0.00000,0.00000,16,0.00037,-0.49273,-0.50116,0.01189,-1.34937,-1.37784,8,0x00000000,1,-0.45587,-0.46209,-0.00051,-0.45596,-0.35443,8,0x00000000,1,-0.46826,-0.46945,0.00234,2.83056,2.91761,8,0x00000000,1,-0.46947,-0.46380,-0.01008,3.19133,3.19753,8,0x00000000,1,-0.44739,-0.44299,-0.00720,0.91556,1.07944,8,0x00000000,1,-0.51459,-0.51781,0.01869,-1.51837,-1.51458,8,0x00000000,1
3.1779,-0.00250,0.27062,-39.16496,-0.00250,0.27062,0.00136,0.26916,0.02388,0.47359,0.02252,0.20443,0.02252,0.20443,0.00000,0.00000,16,0.00028,-0.49244,-0.50014,0.00587,-1.42506,-1.50999,8,0x00000000,1,-0.45556,-0.46168,-0.00042,-0.53130,-0.42099,8,0x00000000,1,-0.46803,-0.46945,-0.00007,2.78650,2.78362,8,0x00000000,1,-0.46999,-0.46422,-0.00264,3.29024,3.36031,8,0x00000000,1,-0.44791,-0.44297,0.00339,1.01729,0.87922,8,0x00000000,1,-0.51438,-0.51511,0.02631,-1.37542,-1.29742,8,0x00000000,1
3.2780,-0.01312,0.27189,-39.17740,-0.01312,0.27189,-0.00690,0.27071,0.02388,0.46589,0.03078,0.19518,0.03078,0.19518,0.00000,0.00000,16,0.00030,-0.49223,-0.49913,0.00835,-1.46729,-1.46393,8,0x00000000,1,-0.45515,-0.46127,0.00344,-0.57129,-0.51595,8,0x00000000,1,-0.46768,-0.46945,0.00018,2.75035,2.77141,8,0x00000000,1,-0.47053,-0.46468,-0.01679,3.33721,3.24826,8,0x00000000,1,-0.44848,-0.44298,-0.00435,1.11191,1.20503,8,0x00000000,1,-0.51425,-0.50847,0.19760,-0.37747,-0.65917,8,0x00000000,1
3.3855,-0.05860,0.29429,-39.21993,-0.05860,0.29429,-0.04068,0.28349,0.02435,0.45800,0.06503,0.17451,0.06503,0.17451,0.00000,0.00000,0,0.00027,-0.49205,-0.49731,0.01581,-1.40518,-1.26521,8,0x00000000,1,-0.45350,-0.46017,0.01269,-0.71219,-0.78424,8,0x00000000,1,-0.46618,-0.46945,-0.00292,2.59587,2.40097,8,0x00000000,1,-0.47207,-0.46523,-0.00904,3.47853,3.37223,8,0x00000000,1,-0.45015,-0.44299,0.00278,1.33433,1.25431,8,0x00000000,1,-0.51436,-0.49899,0.00727,-0.16812,-0.18766,8,0x00000000,1
3.4880,-0.07187,0.29878,-39.21786,-0.07187,0.29878,-0.05964,0.29453,0.02580,0.44971,0.08544,0.15519,0.08544,0.15519,0.00000,0.00000,0,0.00038,-0.49166,-0.49210,0.13441,-0.79829,-0.80539,8,0x00000000,1,-0.45249,-0.45901,0.00433,-0.75698,-0.73220,8,0x00000000,1,-0.46532,-0.46943,-0.00514,2.50467,2.63053,8,0x00000000,1,-0.47327,-0.46597,-0.01861,3.57234,3.51791,8,0x00000000,1,-0.45142,-0.44303,-0.01497,1.47048,1.55553,8,0x00000000,1,-0.51417,-0.49884,-0.00220,-0.01008,0.01833,8,0x00000000,1
3.5891,-0.11637,0.34092,-39.16583,-0.11637,0.34092,-0.09811,0.32380,0.02805,0.44096,0.12616,0.11716,0.12616,0.11716,0.00000,0.00000,0,0.00145,-0.49089,-0.48011,-0.00655,-0.34606,-0.29884,8,0x00000000,1,-0.45048,-0.45703,0.03506,-0.79286,-0.88971,8,0x00000000,1,-0.46358,-0.46937,0.00220,2.33273,2.16953,8,0x00000000,1,-0.47565,-0.46682,-0.00311,3.84617,3.71906,8,0x00000000,1,-0.45392,-0.44301,-0.00029,1.80122,1.78859,8,0x00000000,1,-0.51379,-0.49885,-0.00070,0.19313,0.08088,8,0x00000000,1
3.6932,-0.13104,0.31422,-39.17637,-0.13104,0.31422,-0.12378,0.32678,0.03128,0.43160,0.15506,0.10482,0.15506,0.10482,0.00000,0.00000,0,0.00040,-0.49096,-0.48008,0.01139,-0.15537,-0.20756,8,0x00000000,1,-0.44911,-0.44510,0.00670,-0.14246,-0.23120,8,0x00000000,1,-0.46230,-0.46932,-0.00075,2.18012,2.19004,8,0x00000000,1,-0.47673,-0.46799,-0.00672,3.94010,3.92229,8,0x00000000,1,-0.45513,-0.44311,0.00462,1.99434,2.10980,8,0x00000000,1,-0.51409,-0.49889,-0.00258,0.36364,0.35785,8,0x00000000,1
3.7922,-0.14210,0.30719,-39.17968,-0.14210,0.30719,-0.13409,0.31130,0.03494,0.42256,0.16903,0.11127,0.16903,0.11127,0.00000,0.00000,0,0.00031,-0.49150,-0.48008,0.00980,0.00149,-0.03601,8,0x00000000,1,-0.44849,-0.44453,0.00630,-0.10366,-0.13986,8,0x00000000,1,-0.46164,-0.46926,0.00169,2.06699,2.00273,8,0x00000000,1,-0.47674,-0.46893,-0.01471,3.90652,3.90349,8,0x00000000,1,-0.45525,-0.44323,0.00166,2.10344,2.02913,8,0x00000000,1,-0.51470,-0.49896,0.00427,0.62014,0.70686,8,0x00000000,1
3.8939,-0.14713,0.30111,-39.17120,-0.14713,0.30111,-0.14171,0.30320,0.03887,0.41383,0.18059,0.11063,0.18059,0.11063,0.00000,0.00000,0,0.00033,-0.49171,-0.48011,-0.00007,0.16690,0.29448,8,0x00000000,1,-0.44796,-0.44440,-0.00260,-0.10507,-0.15052,8,0x00000000,1,-0.46111,-0.46920,0.00313,1.95157,1.92217,8,0x00000000,1,-0.47699,-0.46995,-0.00670,3.99198,3.84429,8,0x00000000,1,-0.45558,-0.44339,-0.00677,2.27838,2.35837,8,0x00000000,1,-0.51497,-0.49905,0.00007,0.79116,0.67826,8,0x00000000,1
3.9927,-0.14920,0.29882,-39.16438,-0.14920,0.29882,-0.14564,0.30061,0.04297,0.40523,0.18861,0.10462,0.18861,0.10462,0.00000,0.00000,0,0.00028,-0.49162,-0.48013,0.00298,0.25577,0.29475,8,0x00000000,1,-0.44757,-0.44433,-0.00001,-0.06597,0.01228,8,0x00000000,1,-0.46076,-0.46913,-0.00073,1.83114,1.90849,8,0x00000000,1,-0.47740,-0.47101,-0.00481,4.03107,3.81101,8,0x00000000,1,-0.45601,-0.44356,-0.00864,2.44937,2.42929,8,0x00000000,1,-0.51496,-0.49915,0.00675,0.96832,0.99467,8,0x00000000,1
4.0952,-0.15075,0.29619,-39.16250,-0.15075,0.29619,-0.14986,0.29771,0.04719,0.39670,0.19706,0.09899,0.19706,0.09899,0.00000,0.00000,0,0.00030,-0.49155,-0.48021,-0.00265,0.39215,0.35427,8,0x00000000,1,-0.44716,-0.44430,-0.00214,-0.07644,-0.10369,8,0x00000000,1,-0.46039,-0.46905,0.00083,1.68942,1.69311,8,0x00000000,1,-0.47780,-0.47202,-0.01381,4.01952,3.97992,8,0x00000000,1,-0.45645,-0.44377,-0.00566,2.58003,2.73352,8,0x00000000,1,-0.51497,-0.49928,0.00129,1.16049,1.04122,8,0x00000000,1
4.1973,-0.15425,0.29409,-39.15528,-0.15425,0.29409,-0.15210,0.29520,0.05149,0.38826,0.20360,0.09306,0.20360,0.09306,0.00000,0.00000,0,0.00028,-0.49144,-0.48025,-0.00100,0.50154,0.55379,8,0x00000000,1,-0.44684,-0.44429,-0.00655,-0.07174,-0.00832,8,0x00000000,1,-0.46012,-0.46900,-0.00137,1.59325,1.55078,8,0x00000000,1,-0.47817,-0.47307,-0.00393,4.05946,3.94169,8,0x00000000,1,-0.45684,-0.44395,0.00156,2.77159,2.77642,8,0x00000000,1,-0.51491,-0.49953,-0.00386,1.32919,1.31363,8,0x00000000,1
